robot,window,count,rmse,mean,pstd,mean_dt
a,1,85,1.0881692307901114,0.573631234432742,0.9246942639172753,1.0
a,10,76,3.249518672580333,3.0186448059654136,1.2029776136180939,10.0
a,50,36,4.438154381437372,4.337306954417586,0.9407351894303702,50.0
b,1,788,1.835303358233828,1.0472985947239362,1.5071509779161596,1.0
b,10,779,2.0076304134272127,1.4209748382130971,1.418242005471274,10.0
b,50,739,3.156786517550727,2.824470740610614,1.4098461450898032,50.0
c,1,1275,2.721439501210972,1.2337621622492005,2.4257089449795037,1.0
c,10,1266,2.927050946153039,1.8224909759123238,2.2904484024080367,10.0
c,50,1226,3.831180150884642,3.2560541476041562,2.0189236578935374,50.0
d,1,2242,4.799549090226116,2.1233557167571226,4.304303889086502,1.0
d,10,2233,4.9357240675610825,2.911175018728669,3.985778729612553,10.0
d,50,2193,7.562604609483485,5.686021052544761,4.9861962525956285,50.0
