robot,window,count,rmse,mean,pstd,mean_dt
a,1,59,5.930001040380856,3.4803184143398043,4.801280670167627,1.0
a,10,50,8.953857146364628,8.033938849319927,3.9531486644057447,10.0
a,50,10,8.8168252834728,7.194059709688078,5.097245626093362,50.0
b,1,786,21.002661879248606,12.171868013522866,17.115999388742136,1.0
b,10,777,26.99994972278734,19.690106243418047,18.47422531950807,10.0
b,50,737,35.700207759971555,31.53846006039705,16.72813113063961,50.0
c,1,1260,17.86120961655865,3.56991796932083,17.500814114176716,1.0
c,10,1251,18.500345433823075,4.977601690707235,17.818144195719334,10.0
c,50,1211,19.152556830655563,6.8368642468536995,17.890716039934926,50.0
d,1,2235,5.4506096927179435,2.532570183106444,4.8265136786288085,1.0
d,10,2226,6.134228835392361,2.784913186851201,5.465621826165933,10.0
d,50,2186,7.175155824592994,4.735778220456289,5.390293661187924,50.0
