robot,window,count,rmse,mean,pstd,mean_dt
a,1,1354,0.16636884643352512,0.09413133121040165,0.13717829838636836,1.0
a,10,1345,0.8073274621193891,0.6860577391317575,0.4255612877947852,10.0
a,50,1305,2.5121663298982067,2.2336567025484833,1.1496770869398365,50.0
b,1,606,0.10094369800859028,0.0880824282814612,0.04930634843192831,1.0
b,10,597,0.7247631693406902,0.6603678433437549,0.29865693213163536,10.0
b,50,557,2.5007736365981286,2.3450663338366016,0.868638400837995,50.0
c,1,1061,0.7645622471471273,0.25409880836343424,0.721102784179168,1.0
c,10,1052,1.1548756226449974,0.837561307135557,0.7951281409741747,10.0
c,50,1012,2.526672081957014,2.2086574431933257,1.2271528463755894,50.0
d,1,530,0.5211619742013662,0.18221193994742885,0.4882710438824526,1.0
d,10,521,1.0633145897318355,0.9115867471954171,0.5474006933447023,10.0
d,50,481,3.480061760126465,3.2291068236828626,1.2975742659051492,50.0
