robot,window,count,rmse,mean,pstd,mean_dt
a,1,1354,0.18156658446269375,0.10530555538084427,0.14790931207797697,1.0
a,10,1345,0.7939052470042012,0.6869055902146557,0.3980530760497354,10.0
a,50,1305,2.771936141679323,2.424633824652585,1.3434213002251476,50.0
b,1,606,3.534475037253361,0.29747936104479483,3.5219341019842396,1.0
b,10,597,11.687959884745707,2.670423934674046,11.378806715844368,10.0
b,50,557,19.44000489821571,7.6802859048262935,17.85852734305876,50.0
c,1,1061,0.9449919173995666,0.29042727621605935,0.8992562044157545,1.0
c,10,1052,1.3098196278102365,0.8753765721818858,0.9743425035746097,10.0
c,50,1012,2.797461873837718,2.366947200125553,1.4910915087255514,50.0
d,1,530,0.7816061093798515,0.220521648567793,0.7498521939241432,1.0
d,10,521,1.178151251416947,0.935721054242419,0.7158676413016399,10.0
d,50,481,3.5651421392033944,3.2681520924433114,1.424577261289171,50.0
