robot,window,count,rmse,mean,pstd,mean_dt
a,1,550,0.22913549572495304,0.14804303494686882,0.17488949426663722,1.0
a,10,541,1.2178610028963983,1.0693378871756305,0.5828395194447429,10.0
a,50,501,3.8840995096700475,3.523332185452992,1.6347352421631314,50.0
b,1,430,0.48635934436470635,0.2444706846291754,0.4204515384771582,1.0
b,10,421,0.8496577411788679,0.6311104014876772,0.5688742728224218,10.0
b,50,381,1.6641092952160095,1.5680958264816485,0.5570773962342755,50.0
c,1,509,1.4076860029905205,0.48288163302295006,1.3222727447484182,1.0
c,10,500,1.9740982958263087,1.2182685891621896,1.5533466214097564,10.0
c,50,460,3.024786406397946,2.6749847432680407,1.4120160861735993,50.0
d,1,543,1.7356137332598116,0.8622359612431254,1.5062882122021681,1.0
d,10,534,2.0587803043820823,1.1668604110791267,1.696176029416709,10.0
d,50,494,2.664065631721775,2.093475260168905,1.6476064533686052,50.0
