robot,window,count,rmse,mean,pstd,mean_dt
a,1,545,18.51871336965728,3.7114577356563374,18.142982840314875,1.0
a,10,536,52.8253350511529,27.05678243642608,45.370106319629315,10.0
a,50,496,107.7811305287445,71.9454302367238,80.25351809177565,50.0
b,1,426,52.67736749363408,12.909837442099061,51.07094225954671,1.0
b,10,417,88.2285384002153,32.98552373292167,81.83049683524548,10.0
b,50,377,118.56524508068959,71.20314130783719,94.8041666222543,50.0
c,1,507,4.470094631976439,0.650103203447695,4.422568466817851,1.0
c,10,498,4.643537775803844,1.1932161663981957,4.487613871041417,10.0
c,50,458,5.017406775120199,2.0768401470353086,4.567395948533961,50.0
d,1,540,2.2590516078646177,1.1455245365728604,1.94707157113067,1.0
d,10,531,2.7262038426393183,1.920771227946076,1.9346382818283885,10.0
d,50,491,4.674253800535059,3.8845265236137516,2.599827355644544,50.0
