robot,window,count,rmse,mean,pstd,mean_dt
a,1,1179,0.3049439645423577,0.10874694874430696,0.28489458164312964,1.0
a,10,1170,1.0703232778826648,0.7360783471918829,0.777033194897591,10.0
a,50,1130,3.1062798373003857,2.5995663446416986,1.7003615049233192,50.0
b,1,606,3.5310304855427246,0.3025861151438229,3.5180417752997557,1.0
b,10,597,11.678364629389469,2.712776191602137,11.358919215807974,10.0
b,50,557,19.500519982223704,7.805271942362047,17.87031083901122,50.0
c,1,924,0.9166071240267955,0.2832580361430293,0.8717416502479779,1.0
c,10,915,1.3139509085940149,0.8456861815118231,1.0056251153362217,10.0
c,50,875,2.9177825835131097,2.410526676273664,1.6440244364441405,50.0
d,1,530,0.781606109379847,0.22052164856779355,0.7498521939241387,1.0
d,10,521,1.178151251416943,0.9357210542424168,0.715867641301637,10.0
d,50,481,3.5651421392033766,3.2681520924432994,1.424577261289159,50.0
