robot,window,count,rmse,mean,pstd,mean_dt
a,1,1258,0.33782131016178624,0.11783326583412694,0.31660473632321073,1.0
a,10,1249,1.3039608175536486,0.8901740706054112,0.9528399329042476,10.0
a,50,1209,3.67399190837263,3.059719977421786,2.033796991480118,50.0
b,1,264,0.5215346928883462,0.18077977697889508,0.48920047845602377,1.0
b,10,255,0.9608202479127368,0.8111559358246807,0.5149772777273576,10.0
b,50,215,2.8932365022275066,2.746011907379991,0.9111729047491285,50.0
c,1,623,0.25133641616119157,0.10755692218105149,0.22715964117706072,1.0
c,10,614,0.6493036307383765,0.5596602390439247,0.3292045287102463,10.0
c,50,574,2.0170051271361107,1.8325216253719414,0.8427183250870605,50.0
d,1,1042,0.7132592367303839,0.23137036619818055,0.6746899231695475,1.0
d,10,1033,1.10164854849302,0.7943682991595137,0.7632879729742885,10.0
d,50,993,2.4154632133903338,2.1344621573976483,1.1307227042380164,50.0
e,1,528,0.596174316077128,0.16911936110403708,0.571683878423901,1.0
e,10,519,1.0977629267144218,0.8136299335179774,0.7369462494321708,10.0
e,50,479,3.194502261288714,2.660854495968689,1.7676815461677253,50.0
