robot,window,count,rmse,mean,pstd,mean_dt
a,1,66,2.8859866100123073,1.8946845717987264,2.176944897455653,1.0
a,10,57,3.4008276149309085,2.9592608882684255,1.6758291862959713,10.0
a,50,17,4.1585555729748975,3.972660089762018,1.22945364480838,50.0
b,1,647,1.8427989307231454,1.1122516766621047,1.4692869382243574,1.0
b,10,638,2.23040161996135,1.7225274337193044,1.4168947125353393,10.0
b,50,598,3.309935387148797,3.008955263602472,1.3790795802776679,50.0
c,1,1764,2.890694215292226,1.729896013837863,2.315938865262168,1.0
c,10,1755,2.9538069217562835,2.08761216635766,2.0897011207086096,10.0
c,50,1715,3.546293669639155,3.1382370780537516,1.6515649648897837,50.0
d,1,1913,3.406317844691506,0.5218223257300952,3.3661109190627436,1.0
d,10,1904,5.629377890068138,2.282043313451134,5.14608334024246,10.0
d,50,1864,11.262571098067264,7.100283951416618,8.742509682481096,50.0
