robot,window,count,rmse,mean,pstd,mean_dt
a,1,48,12.4140715260492,6.892967235332089,10.324542340777333,1.0
a,10,39,16.96201125953951,12.969111192249109,10.932153532210563,10.0
b,1,617,35.33131547511108,20.392236840358883,28.852357440052188,1.0
b,10,608,53.93908994918017,41.024896908173304,35.019755256419224,10.0
b,50,568,62.22426924852686,51.87649850135542,34.36114938054366,50.0
c,1,1761,5.269225490174392,3.0103216231862717,4.324661951098695,1.0
c,10,1752,5.181950974314659,3.269346324354751,4.020446556245796,10.0
c,50,1712,6.750865110160957,5.622241553773096,3.7369211453569133,50.0
d,1,1912,1.7917890512216843,0.4227818618477418,1.7411959974024924,1.0
d,10,1903,2.290408172981859,1.3554735482202795,1.8462559570485402,10.0
d,50,1863,4.652028241882877,3.9384797440798702,2.475831995259065,50.0
