robot,window,count,rmse,mean,pstd,mean_dt
a,1,1340,0.16577566599311147,0.09300820086185542,0.13722625844895855,1.0
a,10,1331,0.7900576633785049,0.6589156721594577,0.4359142673115355,10.0
a,50,1291,2.2840366165512274,2.0057114156855858,1.0926778952350493,50.0
b,1,619,0.4728892943071116,0.14810918289624858,0.44909682097748543,1.0
b,10,610,0.8787623178880957,0.6855565825318003,0.5497593869024684,10.0
b,50,570,2.3914608707978138,2.186621935267182,0.9683850519113965,50.0
c,1,1063,0.5698360334879544,0.20314019676648512,0.5323975634044156,1.0
c,10,1054,1.0562305344379117,0.8191417099866969,0.6668056694712983,10.0
c,50,1014,2.547382359214202,2.200496083737646,1.2833447975859804,50.0
d,1,529,0.6939787441325973,0.19687404064122535,0.6654675870614993,1.0
d,10,520,1.1063147134661684,0.8819718041717999,0.6678757233779883,10.0
d,50,480,3.227323089555655,2.9797918887870756,1.239538068756991,50.0
