robot,window,count,rmse,mean,pstd,mean_dt
a,1,1340,0.31547549783581436,0.11478088814669822,0.2938539389748078,1.0
a,10,1331,1.0472269199750708,0.7879390684802388,0.6898088476403922,10.0
a,50,1291,2.9345454741923147,2.5622324335274587,1.4305670542419768,50.0
b,1,619,0.7794508505110951,0.24593978461395133,0.7396331865908349,1.0
b,10,610,1.5497723256162252,1.1915704022142155,0.9909360412322169,10.0
b,50,570,4.782001402716568,3.9755605728157826,2.6575280896833204,50.0
c,1,1063,1.0018367295459136,0.268491529171276,0.9651886506950451,1.0
c,10,1054,2.6256456778712325,1.1496898363792951,2.3605568211441197,10.0
c,50,1014,4.160434034799224,2.8958867416897145,2.9871476925692004,50.0
d,1,528,0.8469014479745158,0.22259890939156274,0.8171240959113972,1.0
d,10,519,1.2466624461855003,0.9514629531970441,0.805534296863128,10.0
d,50,479,3.915436233329666,3.403104952541651,1.9363671085972503,50.0
