robot,window,count,rmse,mean,pstd,mean_dt
a,1,572,0.3177398574394362,0.13326251902103453,0.2884436132588165,1.0
a,10,563,1.153729009258882,0.8753621020864162,0.7515529369487768,10.0
a,50,523,2.910313228241418,2.4819270374666185,1.5198556731378035,50.0
b,1,387,0.197379112615369,0.11866321545233528,0.15772620389568492,1.0
b,10,378,0.6721147780771086,0.5781999185310731,0.3426705839728605,10.0
b,50,338,1.9574980207879706,1.847926530577905,0.6457290755224909,50.0
c,1,487,0.5606582095458826,0.220887620657269,0.5153118346899918,1.0
c,10,478,1.1189586276307477,0.7016487027077782,0.8716406991058748,10.0
c,50,438,2.0014162443443047,1.547287048699365,1.2694761801831769,50.0
d,1,586,1.470534406735221,0.842811810496502,1.2050475897157409,1.0
d,10,577,1.5300393603259,1.0080793746987982,1.1509980097521317,10.0
d,50,537,2.145182701425733,1.8003465360147277,1.1664309549887542,50.0
