robot,window,count,rmse,mean,pstd,mean_dt
a,1,566,3.5100134435650276,0.951880076027726,3.378478754538597,1.0
a,10,557,10.28639742669363,7.044728400107072,7.495450205865847,10.0
a,50,517,20.735684233425445,17.406780555218397,11.268211540914535,50.0
b,1,386,5413.371779288058,393.9171144431612,5399.020589675607,1.0
b,10,377,17321.465625510802,4022.349302075161,16847.963601214477,10.0
b,50,337,27763.086789784957,10364.583587138133,25755.86137488628,50.0
c,1,483,8844.614770759828,992.8294957406937,8788.71435623722,1.0
c,10,474,17482.32857832683,3873.3789249797132,17047.837054128195,10.0
c,50,434,18664.548535955488,4454.820080689356,18125.11931270316,50.0
d,1,584,5.4368679352843,2.8485184988721715,4.630925966510973,1.0
d,10,575,5.637052453828386,3.928165400833582,4.043003456702284,10.0
d,50,535,9.569158471472907,7.692207902626264,5.691988355130017,50.0
