robot,window,count,rmse,mean,pstd,mean_dt
a,1,1242,0.1791184142622446,0.10447574450175146,0.1454930415470987,1.0
a,10,1233,0.91807118254791,0.763535623313407,0.5097725455105692,10.0
a,50,1193,2.7906590244024665,2.4084426081178103,1.4096744283278995,50.0
b,1,187,0.5857207254107171,0.25594060130475393,0.526842648975401,1.0
b,10,178,1.1735056081767048,1.0691234718363225,0.48382891024702623,10.0
b,50,138,2.876278241396953,2.6098831186254734,1.2089196123180903,50.0
c,1,702,1.3233451702210022,0.5998396396854953,1.179590965635643,1.0
c,10,693,1.3536965344726244,0.9368509980778199,0.9771409902587173,10.0
c,50,653,2.0019884288737564,1.848145642321296,0.7696202661788574,50.0
d,1,1014,0.6965455570436119,0.2108140280701745,0.6638773671439806,1.0
d,10,1005,1.221819779885869,0.8138845879128496,0.9112823119529344,10.0
d,50,965,2.6082859077734124,2.12307277026073,1.5151624958620153,50.0
e,1,532,0.3733863125877627,0.16988114965026962,0.3325022307013731,1.0
e,10,523,1.027982358978351,0.8599581919258601,0.5632225479420202,10.0
e,50,483,3.456421297990491,2.9801156193298204,1.750930919433633,50.0
