robot,window,count,rmse,mean,pstd,mean_dt
a,1,1226,0.16379560914179245,0.1153281981548578,0.11631168593260391,1.0
a,10,1217,0.9397338254636101,0.8030223973408948,0.48811340085000043,10.0
a,50,1177,3.1038118676207196,2.6875438530807854,1.5526609891894956,50.0
b,1,181,2.226414121119598,0.8051237340802845,2.075739774524102,1.0
b,10,172,4.372530608438477,2.869559626494551,3.2991895174002677,10.0
b,50,132,4.918752245431284,3.861917822109658,3.0462623634885895,50.0
c,1,699,0.9167956568866527,0.4509994878082816,0.7981940481379806,1.0
c,10,690,1.1844337323346483,0.9124492044832775,0.7551951506266568,10.0
c,50,650,2.1643187519665172,1.9792844476641682,0.8756190583516612,50.0
d,1,991,3.233093188356941,0.6465668773239395,3.1677820060331836,1.0
d,10,982,5.49511026010189,1.9909391736027764,5.121757313431687,10.0
d,50,942,7.552667346201244,4.9359924105236,5.7165341742727325,50.0
e,1,532,1.1140176602958691,0.3584009283604565,1.0547910323857732,1.0
e,10,523,1.8287178872509797,1.3658866509792493,1.2159616637988135,10.0
e,50,483,4.947707112033008,4.404433604357346,2.254056408182764,50.0
